mass_A
t	x	y
4,232111111E0	-4,299450051E1	9,489983554E1
4,265400000E0	-4,299206839E1	9,491248966E1
4,314500000E0	-4,300505651E1	9,490089823E1
4,341400000E0	-4,299483141E1	9,491479139E1
4,398711111E0	-4,299732526E1	9,491445789E1
4,432144444E0	-4,300633937E1	9,490359825E1
4,470433333E0	-4,297077799E1	9,477095658E1
4,498677778E0	-4,194826584E1	9,169562270E1
4,531977778E0	-3,970001290E1	8,501295777E1
4,631955556E0	-3,305518324E1	5,731471214E1
4,665300000E0	-3,295083262E1	5,741800499E1
4,698611111E0	-3,306314494E1	5,730242535E1
4,736255556E0	-3,295350199E1	5,741415654E1
4,765244444E0	-3,303250855E1	5,733134327E1
4,798577778E0	-3,296336493E1	5,740573082E1
4,831900000E0	-3,303615282E1	5,733144795E1
4,867155556E0	-3,296901570E1	5,738946109E1
4,898544444E0	-3,300804952E1	5,729883834E1
4,931855556E0	-3,298168612E1	5,737673940E1
4,965177778E0	-3,299978624E1	5,733269534E1
4,998533333E0	-3,299465350E1	5,736048265E1
5,031833333E0	-3,298088345E1	5,733140902E1
5,065155556E0	-3,305274471E1	5,765972181E1
5,098477778E0	-3,412931054E1	6,308960662E1
5,131911111E0	-3,617589465E1	7,239786961E1
5,165133333E0	-4,170465724E1	9,125929753E1
5,198455556E0	-4,194395116E1	9,196361635E1
5,231822222E0	-4,233054538E1	9,298150021E1
5,265088889E0	-4,269948454E1	9,398717498E1
5,298422222E0	-4,273792906E1	9,412964797E1
5,331744444E0	-4,281434164E1	9,433587500E1
5,365066667E0	-4,281835527E1	9,437377164E1
5,398388889E0	-4,281288518E1	9,439587592E1
5,431722222E0	-4,284151260E1	9,443074313E1
5,465044444E0	-4,287835791E1	9,445237509E1
5,498355556E0	-4,284696077E1	9,442392818E1
5,531677778E0	-4,283683870E1	9,438831061E1
5,565000000E0	-4,283003767E1	9,438309297E1
5,598322222E0	-4,283056886E1	9,438749339E1
5,631766667E0	-4,282399456E1	9,438045616E1
5,664966667E0	-4,253940393E1	9,357431908E1
5,698300000E0	-4,149366145E1	9,036017945E1
5,731622222E0	-3,803028502E1	7,965612150E1
5,764955556E0	-3,241148497E1	5,256133490E1
5,798277778E0	-3,211707816E1	5,214042321E1
5,831588889E0	-3,225922616E1	5,200184981E1
5,864911111E0	-3,211109225E1	5,206982287E1
5,898244444E0	-3,223329644E1	5,202847366E1
5,931566667E0	-3,212481512E1	5,206682191E1
